Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage
MobiKwik,2009,Gurgaon,Financial services,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Bipin Singh, Chandan Joshi, Upasana Taku",Abu Dhabi Investment Authority and Dosch,$165.5,Series G
Amagi Media Labs,2008,Newyork,Media andEntertainment,Amagi Media Labs is a tech and media startup that facilitates the geographic targeting of TV advertisements.,"Baskar Subramanian, Srinivasan KA, Srividhya Srinivasan",Avataar Venture partners,$240.2,undisclosed
Myntra,2007,Banglore,E-commerce,"Myntra is an e-commerce platform for buying branded footwear, apparel, and accessories for men and women.","Ashutosh Lawania, Mukesh Bansal, Raveen Sastry, Sankar Bora, Vineet Saxena","FK Myntra Holdings,QuickRoutes International",Undisclosed,undisclosed
Philips Electronics,1929,Amsterdam,Electronics,"Philips Electronics is a company whose activities cover all aspects of healthcare and well-being, with a focus on improving people's lives.","Frederik Philips, Gerard Philips",,Undisclosed,undisclosed
WayCool,2015,Chennai,Food processing,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products","Karthik Jayaraman, Sanjay Dasari",GAWA Capital and Lightbox,$221.5,Series D
MoEngage,2014,San Francisco,Information technology,MoEngage is an internet company that features cloud-based marketing services for consumer businesses.,"Raviteja Dodda, Yashwanth Kumar","Eight Roads Ventures, Matrix Partners Ind","133,000,000",undisclosed
Mahindra Logistics,2000,Mumbai,Logistics,Supply chain management and corporate people transport solution,"J C Mahindra, K C Mahindra",Birla Sun Life Insurance and HDFC Trustee,"$2,500,000,000",undisclosed
Enphase Energy,2006,Petaluma,Solar,Enphase Energy offers a micro-inverter system that delivers solar energy to homes and businesses.,"Isidoro Quiroga, Martin Fornage, Raghu Belu",T.J. Rodgers and John Doerr,"$116,000,000",undisclosed
Allegis Group,1983,Maryland,Human resources,A Global Network of Staffing Services.,"Jim C. Davis, Stephen Bisciotti",Vouch Insurance,"$60,000,000",Series C
Slice,2010,Newyork,Food &bevrages,Slice is a provider of tools for pizzerias to manage the digital side of their businesses.,Iler Sela,Kohlberg Kravis Roberts and Dick Costolo,"$125,000,000",Series D
Tata Digital,2019,Mumbai,Internet,Tata Digital build consumer-centric digital businesses for deep consumer engagement and their needs across multiple verticals.,,Temasek Holdings and SoftBank Capital,"$50,000,000",undisclosed
UpGrad,2015,Mumbai,E-learnig,UpGrad is an online higher education platform providing various program,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala",IIFL Finance and International Finance Corporation,"$201,000,000",undisclosed
Hitachi,1959,Tokyo,Industrial Manufacturing,Hitachi is engaged in the manufacture and sale of electronic and electrical products worldwide,"Namihei Odaira, Nuri Nuranisari, Santana jordan isaiah Henry",Mountain View data,Undisclosed,undisclosed
Chargebee,2011,San Francisco,Software,Chargebee provides subscription and recurring billing systems for SaaS and e-commerce businesses.,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan Thiyagu",Sequoia Capital India and Insight Partners,"$468.200,000",Series H
Fivetran,2012,Oakland,Analytics,Fivetran is a technology company that helps analysts replicate data into a cloud warehouse.,"George Fraser, Taylor Brown",General Catalyst and ICONIQ Capital,"$728.100,000",Series-D
Euler,2020,London,Financial services,Euler is a capital-efficient permissionless lending protocol that helps users to earn interest on their crypto assets.,"Doug Hoyte, Jack Prior, Michael Bentley",Danilo S. Carlucci and CMT Digital Ventures,Undisclosed,Series A
Ecom Express,2012,New delhi,Logistics,"Ecom Express is a logistics solutions company that allows for customization, scalability, and delivery service processing.","K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan",CDC Group and Partners Group,$485,undisclosed
Wooden Street,2015,Jaipur,Home decor,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,"Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat",WestBridge Capital and IAN Fund,"$34.100,000",Series B
Chalo,2014,Mumbai,Information technology,Chalo develops a transport application that delivers real-time transit information,"Dhruv Chopra, Mohit Dubey, Nikhil Aggarwal, Priya Singh, Vinayak Bhavnan",Matrix Partners and Lightrock,"$61,000,000",Undiclosed
FreshMenu,2014,Banglore,Food processing,FreshMenu offers food delivery service that provides fresh and tasty cuisines of the highest standard.,Rashmi Daga,Florintree Advisors and Srinivas Anumolu,"$32.400,000",Series C
Nykaa,2012,Mumbai,"Beauty,Fashion",Nykaa is an online marketplace for different beauty and wellness products.,Falguni nyer,Fidelity Management and Research Company and Alia Bhatt,"$148.500,000",undisclosed
Classplus,2018,Noida,E-learning,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Nikhil Goel, Vatsal Rustag",Alpha Wave Ventures and Chimera Investm,"$129.500,000",Series D
Skillmatics,2016,Mumbai,Education,Skillmatics provides education products and learning games for children in pre-school and primary school who are under the age of ten,"Devanshi Kejriwal, Dhvanil Sheth",Sequoia Capital India and Sofina,$23,Series B
Mamaearth,2016,Gurgaon,"Health, Wellness",Mamaearth is a personal care brand that specializes in baby and toddler products.,"Ghazal Alagh, Varun Alagh",Evolvence India Fund and Sofina,"$110.800,000",Unknown
Digits,2018,San Francisco,Accounting,Digits is a fintech company building tools for businesses and finance professionals by leveraging its proprietary Living Model technology.,"Jeff Seibert, Wayne Chang",Benchmark and GV,"$97,500,000",Series C
DealShare,2018,Banglore,E-commerce,DealShare is a fast growing social e-commerce startup,"Rajat Shikhar, Sankar Bora, Sourjyendu Medda, Vineet Rao",Abu Dhabi Investment Authority and Twenty Nine Capital Partners,"$624.800,000",Series E
Mylab Discovery Solutions,2016,Lonavala,"Health,wellness",Mylab Discovery Solutions is provides a portfolio of diagnostic kits for pathogen detection and viral load monitoring.,R.S mani,Abhijit Pawar and Adar C. Poonawalla,Undisclosed,undisclosed
Securden,2018,Delaware,Artificial Intelligence,Securden is a Windows Privilege Management Software,"Balasubramanian Venkatramani, Kumaran Balan",Accel and Tiger Global Management,"$11.700,000",Series A
Doubtnut,2016,Gurgaon,Education,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.","Aditya Shankar, Ravi Sekhar KV, Tanushree Nagori",Sequoia Capital India and Lupa Systems,"$49.900,000",Series B
Whitehar Jr,2018,Maharastra,Information technology,Whitehar Jr - leading and best computer programming learning websites teaching kids to code.,Karan Bajaj,Bossanova Investimentos and Omidyar Network,"$11.300,000",Unknown
Frigate,2021,Tiruchirappall,Manufacturing,"Frigate provides fabrication, 3D printing, and CNC machining services quickly, risk-free and affordable for OEMs, SMEs, and startups.","Adithya Narayanan Seetharaman, Chandrasekar Ch, Iniyavan Vasanthan, Vasanthan Tamizhinian",Abhishek Pandey and Srinath Ramakkrushnan,"$17,500,000",undisclosed
Leaf Round,2022,Bengaluru,Financial services,Leaf Round is a marketplace for leasing that provides investors options to buy assets and rent to businesses.,,Super Capital,"$300,000",Preseed
Wildermart,2021,Bengaluru,Food and bevrages,Wildermart is a healthy and sustainable grocery store startup.,,Abhinav Mathur and 17 other investors,"$24,000,000",undisclosed
Myraah,2020,Pune,Web design,Myraah uses AI to help SMEs create web presence in English and several Indian languages,,Arun Balakrishnan and Xcelerator Venture Partners,"$350,000",Preseed
GROWiT,2020,Surat,Manufacturing,Agri Tech & Manufacturing,"Akshay Agarwal, Saurabh Agarwa",Mukul Goyal and Coppermine Capita,"$30,000,000",undisclosed
Lauriko,2021,Hyderabad,"Health,wellness",Lauriko is a Manufacture of food products and beverages company.,Lavanya Sunkari,Lakshmikant PB and Murthy Aradhi,"$37,000,000",undisclosed
Hbox,2020,Massachusetts,Healthcare,We are developing therapies based on the principle of minimally invasive targeted hyperoxygenation,,,Undisclosed,undisclosed
iTribe,2021,Bengaluru,Financial services,"iTribe is a one-stop solution for customers to get news related to stocks, advisors, and investment ideas","Nikhil,Pruthvi",Eximius Ventures and PlanBcapital,"$1,000,000",undisclosed
Zipy,2013,Israel,E-commerce,"Zipy provides a platform for e-commerce that allows users to shop from Ebay, Amazon, Aliexpress, or Walmart.",Anton Goldshtein,,Undisclosed,undisclosed
Pratech Brands,2021,Mumbai,Internet,Pratech Brands is a digital-first house of brands that takes pride in uncovering consumer needs and building consumer brands.,,,"$3,000,000",undisclosed
Glip,2020,Delaware,Software,Glip is a creator tool suite for gamers to create and monetise.,"Brett Paden, Claudio Pinkus, David Hersh, Jeff Strinko, Peter Pezaris",Better Capita,"$3,000,000",Seed
Hubble,2014,London,Commercial Real State,"A platform to search, set up, and manage your hybrid workplace","Rohan Silva, Tom Watson, Tushar Agarwal",Pi Labs and Upscale,"$12,300,000",undisclosed
Eximpe,2021,"Eximpe is Managing sellers, buyers, processes, payments, and financial services.",Arjun Zacharia,Axel Wehr and Rohit M.A.,"$270,000,000",Seed,,
Limechat,2020,Faridabad,Software,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Aniket Bajpai, Nikhil Gupta",Pi Ventures and Stellaris Venture Partners,"$5,000,000",Seed
Medisage,2019,Mumbai,Healthcare,"Medisage Connect with Global doctors, watch video case studies by subject matter experts",,Bessemer Venture Partners and Siddharth Sikchi,"$530,000,000",undisclosed
Spyne,2018,Gurgaon,Software,Spyne is a Deep Tech startup helping businesses and marketplaces create and upgrade high-quality product images and videos at scale with AI.,"Deepti Prasad, Sanjay Kumar",Pentathlon Ventures and Core91 Fund,"$7,000,000",Series A
Stockal,2016,Newyork,Finance,Stockal is the platform for cross-border savings and investments.,"Rajan K Natarajan, Sitashwa Srivastava, Vinay Bharathwaj",Hashed and A'Z Angels,"$14,800,000",Series A
YouKraft,2020,Banglore,Publishing,YouKraft is an e-commerce marketplace for all things interio,,Goel Family Office,"76,000,000",Seed
EPNS,2020,BUIDLing World's First Decentralized Notification Protocol on Ethereum,"Harsh Rajat, Richa Joshi",BR Capital and LD Capital,"$66,000,000",Seed,,
Securden,2018,Delaware,Artificial Intelligence,Securden is a Windows Privilege Management Software,"Balasubramanian Venkatramani, Kumaran Balan",Accel and Tiger Global Management,"$11,700,000",Series A
Mesh,2020,San Jose,Enterprise Software,Mesh is a social performance management platform for today's workforce.,"Gaurav Chaubey, Rahul Singh, Saurabh Nangia",Ankit Nagori and Sumon Sadhu,"$16,100,000",Series A
Last9,2020,Santa Clara,Software,Last9 is a Site Reliability Engineering platform that helps improve production systems.,"Nishant Modak, Piyush Verma",Better Capital and Sequoia Capital India,"$13,000,000",Series A
